issueSymbolIdentifier,issueName,firmCRDNumber,MPID,marketParticipantName,tierIdentifier,tierDescription,summaryStartDate,totalWeeklyTradeCount,totalWeeklyShareQuantity,productTypeCode,summaryTypeCode,weekStartDate,lastUpdateDate,initialPublishedDate,lastReportedDate,totalNotionalSum
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-06-27,184518,57759255.0,CTS,ATS_W_SMBL,2022-06-27,2022-07-29,2022-07-18,2022-07-29,22040662826.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-07-04,109871,40891253.0,CTS,ATS_W_SMBL,2022-07-04,2022-07-25,2022-07-25,2022-07-08,15724332727.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-07-11,130517,62372555.0,CTS,ATS_W_SMBL,2022-07-11,2022-08-01,2022-08-01,2022-07-15,23761662422.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-07-18,150958,54296811.0,CTS,ATS_W_SMBL,2022-07-18,2022-08-08,2022-08-08,2022-07-22,21224653534.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-07-25,151166,54945146.0,CTS,ATS_W_SMBL,2022-07-25,2022-08-15,2022-08-15,2022-07-29,22057899254.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-08-01,130840,43429017.0,CTS,ATS_W_SMBL,2022-08-01,2022-08-22,2022-08-22,2022-08-05,17890442361.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-08-08,137516,40294300.0,CTS,ATS_W_SMBL,2022-08-08,2022-08-29,2022-08-29,2022-08-12,16819352476.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-08-15,128545,43322492.0,CTS,ATS_W_SMBL,2022-08-15,2022-09-06,2022-09-06,2022-08-23,18492220341.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-08-22,121446,52091225.0,CTS,ATS_W_SMBL,2022-08-22,2022-09-12,2022-09-12,2022-08-26,21593451142.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-08-29,173943,59523590.0,CTS,ATS_W_SMBL,2022-08-29,2022-09-19,2022-09-19,2022-09-02,23659930694.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-09-05,114010,42554330.0,CTS,ATS_W_SMBL,2022-09-05,2022-09-26,2022-09-26,2022-09-09,16942089032.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-09-12,200386,90926011.0,CTS,ATS_W_SMBL,2022-09-12,2022-10-03,2022-10-03,2022-09-16,36055104278.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-09-19,187938,70879727.0,CTS,ATS_W_SMBL,2022-09-19,2022-10-10,2022-10-10,2022-09-23,26821520471.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-09-26,226317,99406276.0,CTS,ATS_W_SMBL,2022-09-26,2022-10-17,2022-10-17,2022-09-30,36181703765.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-10-03,172480,64650435.0,CTS,ATS_W_SMBL,2022-10-03,2022-10-24,2022-10-24,2022-10-07,23955809477.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-10-10,199346,65683289.0,CTS,ATS_W_SMBL,2022-10-10,2022-10-31,2022-10-31,2022-10-14,23679265944.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-10-17,189413,78098924.0,CTS,ATS_W_SMBL,2022-10-17,2022-11-07,2022-11-07,2022-10-21,28698411785.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-10-24,195098,75712109.0,CTS,ATS_W_SMBL,2022-10-24,2022-11-14,2022-11-14,2022-10-31,28950957148.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-10-31,220152,88400278.0,CTS,ATS_W_SMBL,2022-10-31,2022-11-21,2022-11-21,2022-11-04,33726213103.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-11-07,203373,73879544.0,CTS,ATS_W_SMBL,2022-11-07,2022-11-28,2022-11-28,2022-11-11,28377698437.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-11-14,165317,65777277.0,CTS,ATS_W_SMBL,2022-11-14,2022-12-05,2022-12-05,2022-11-18,26067246839.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-11-21,106856,32470870.0,CTS,ATS_W_SMBL,2022-11-21,2022-12-12,2022-12-12,2022-11-25,12944306419.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-11-28,194171,70552652.0,CTS,ATS_W_SMBL,2022-11-28,2022-12-19,2022-12-19,2022-12-02,28348096765.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-12-05,171305,61039822.0,CTS,ATS_W_SMBL,2022-12-05,2022-12-27,2022-12-27,2022-12-09,24230502780.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-12-12,209539,99217413.0,CTS,ATS_W_SMBL,2022-12-12,2023-01-03,2023-01-03,2022-12-16,39139289476.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-12-19,160709,69746000.0,CTS,ATS_W_SMBL,2022-12-19,2023-01-09,2023-01-09,2022-12-23,26629478182.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-12-26,133927,56690454.0,CTS,ATS_W_SMBL,2022-12-26,2023-01-17,2023-01-17,2022-12-30,21609887470.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-01-02,162236,60510664.0,CTS,ATS_W_SMBL,2023-01-02,2023-01-23,2023-01-23,2023-01-06,23136294458.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2023-01-09,174483,49524964.0,CTS,ATS_W_SMBL,2023-01-09,2023-01-30,2023-01-30,2023-01-13,19458056627.0
